siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
5420021,49,542002100049,O,2008-09-05,NN,,,2024-03-30T12:39:13,false,2,ZAC DES DEUX VALLEES,52,,,,RUE,VENTOSE,80100,ABBEVILLE,,,80001,,,,,800012235_B,618705.2706935114,7001057.516014204,,,,,,,,,,,,,,,2009-12-23,F,,,,,46.69B,NAFRev2,O
5420021,56,542002100056,O,2009-12-23,NN,,,2025-01-27T02:51:45,true,1,,21,B,,,BOULEVARD,DES PRES,80100,ABBEVILLE,,,80001,,,,,800011770_B,616393.5745431304,7000826.96739121,,,,,,,,,,,,,,,2009-12-23,A,,,,,46.69B,NAFRev2,O
5420039,17,542003900017,O,,NN,,,2024-03-30T15:20:54,true,1,,3,,,,PLACE,DU PILORI,80100,ABBEVILLE,,,80001,,,,,800011560_B,616589.0502735551,7001637.787003536,,,,,,,,,,,,,,,,F,,,,,59.02,NAP,N
5420047,10,542004700010,O,1900-01-01,NN,,,2024-03-22T15:40:57,true,5,,114,,,,CHS,MARCADE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,2004-09-24,F,,,,,45.3F,NAFRev1,O
5420047,28,542004700028,O,1973-07-01,NN,,,2024-03-22T15:40:57,false,3,,2,,,,,RIVE DROITE DE LA SOMME,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,2004-09-24,F,,,,,52.4Y,NAFRev1,N
5420054,24,542005400024,O,,NN,,,2024-03-22T15:40:57,true,1,,54,,,,RUE,DES ECOLES,80970,SAILLY-FLIBEAUCOURT,,,80692,,,,,,,,,,,,,,,,,,,,,,1999-08-31,F,,,,,28.6F,NAF1993,O
5420070,20,542007000020,O,,NN,,,2024-03-22T15:40:57,true,1,,2,,,,,VOIE NOUVELLE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,1987-02-02,F,,,,,70.2C,NAF1993,N
5420088,14,542008800014,O,,NN,,,2024-03-22T15:40:57,true,1,,3,,,,RUE,DES LINGERS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,1992-06-29,F,,,,,52.4N,NAF1993,N
5420104,19,542010400019,O,1954-01-01,NN,,,2024-03-22T15:40:57,true,5,,13,,,,PL,MAX LEJEUNE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,2013-12-16,F,,,,,47.71Z,NAFRev2,O
5420120,15,542012000015,O,1989-01-27,1,2023,,2024-03-30T03:44:04,false,4,,,,,,RUE,DE LA FONTAINE,80120,RUE,,,80688,,,,,806880420_B,605361.4086290048,7020443.360403413,,,,,,,,,,,,,,,2008-01-01,A,,,,,10.81Z,NAFRev2,O
5420120,23,542012000023,O,1900-01-01,NN,,,2024-03-30T03:44:04,false,5,,12,,,,ROUTE,DE MONTREUIL,62180,RANG-DU-FLIERS,,,62688,,,,,626880420_B,603908.6742656698,7036437.727362791,,,,,,,,,,,,,,,2014-04-30,A,,,,,52.10B,NAFRev2,N
5420120,31,542012000031,O,1900-01-01,2,2023,,2025-02-06T02:30:46,true,6,,,,,,ROUTE,NATIONALE,62140,MARCONNELLE,,,62550,,,,,625500050_B,629760.27887038,7031222.801711981,,,,,,,,,,,,,,,2008-04-23,A,,,,,70.10Z,NAFRev2,O
5420120,49,542012000049,O,1900-01-01,NN,,,2024-03-30T03:44:04,false,6,,,,,,RUE,DE LA GARE,62180,CONCHIL-LE-TEMPLE,,,62233,,,,,622330059_B,604705.0749943635,7030281.973691936,,,,,,,,,,,,,,,2020-12-21,F,,,,,46.75Z,NAFRev2,N
5420146,10,542014600010,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,PL,DU GENERAL LECLERC,80120,RUE,,,80688,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.12,NAP,N
5420153,16,542015300016,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,MARECHAL FOCH,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,58.12,NAP,N
5420187,14,542018700014,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,CHS,D HOCQUET,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.40,NAP,N
5420195,33,542019500033,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,AU CHEMIN DE LA RIVIERE,80140,RAMBURES,,,80663,,,,,,,,,,,,,,,,,,,,,,2001-07-31,F,,,,,51.2A,NAF1993,O
5420245,10,542024500010,O,,NN,,,2024-03-30T12:40:17,true,1,,2,,,,BOULEVARD,VAUBAN,80100,ABBEVILLE,,,80001,,,,,800012210_B,616871.3748239464,7001754.900468939,,,,,,,,,,,,,,,1986-07-03,F,,,,,81.21,NAP,N
